row_id,raw_id,front_url,rear_url,parallel_url
0,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ab333fc5-ee45-4937-a70d-b5355adba976/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-27-55_ZLKShwqXDVk.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ab333fc5-ee45-4937-a70d-b5355adba976/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-28-24_-XH2TOebMbw.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ab333fc5-ee45-4937-a70d-b5355adba976/left/bottom-side/lf_wheel_raw_2026-02-05_20-28-10_R9uEe0yiA4k.jpg
1,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ed41a20b-84c7-4e66-bdd0-9f3f3b120d99/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-33-05_B4UU95s35f8.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ed41a20b-84c7-4e66-bdd0-9f3f3b120d99/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-33-32_-a6pLYde094.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/ed41a20b-84c7-4e66-bdd0-9f3f3b120d99/left/bottom-side/lf_wheel_raw_2026-02-05_20-33-18_tM74bXIUeBs.jpg
2,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a521c6ff-2904-4318-9f3f-a033689be9ed/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-37-51_8bcheS7ADUU.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a521c6ff-2904-4318-9f3f-a033689be9ed/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-38-20_eFSVpDsJ_Ds.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a521c6ff-2904-4318-9f3f-a033689be9ed/left/bottom-side/lf_wheel_raw_2026-02-05_20-38-04_CgeZXcpGahA.jpg
3,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/500888e0-ff6c-43ec-aed5-0e866cfc9cde/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-45-14_0iqxqUxn074.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/500888e0-ff6c-43ec-aed5-0e866cfc9cde/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-45-41_pUUyeQZRHCw.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/500888e0-ff6c-43ec-aed5-0e866cfc9cde/left/bottom-side/lf_wheel_raw_2026-02-05_20-45-28_yVCnUsNoVVE.jpg
4,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/91bffd08-173b-4b65-8e95-b8fe5a16465e/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-49-57_qozrTmEeGik.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/91bffd08-173b-4b65-8e95-b8fe5a16465e/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-50-27_2FMz8Pap7Xs.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/91bffd08-173b-4b65-8e95-b8fe5a16465e/left/bottom-side/lf_wheel_raw_2026-02-05_20-50-12_JMlDPyLHALA.jpg
5,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/01cb81d2-1977-45c5-8aea-80de13d026d7/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-52-33_dFu0ujwWH5Y.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/01cb81d2-1977-45c5-8aea-80de13d026d7/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-53-04_lTsKDG3PuZw.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/01cb81d2-1977-45c5-8aea-80de13d026d7/left/bottom-side/lf_wheel_raw_2026-02-05_20-52-48_ugXZ_XZgk4o.jpg
6,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/efa50896-7cb9-4dfc-910a-245253caa1a4/left/bottom-front/lf_wheel_front_raw_2026-02-05_20-55-08_Hk-Av3pXpbo.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/efa50896-7cb9-4dfc-910a-245253caa1a4/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_20-55-38_xu4ARxgwozU.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/efa50896-7cb9-4dfc-910a-245253caa1a4/left/bottom-side/lf_wheel_raw_2026-02-05_20-55-23_JpZCxYPrbfY.jpg
7,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a4f7120c-1720-44cc-82a8-2782a9be5c1a/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-12-45_oM4EX1BWBOs.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a4f7120c-1720-44cc-82a8-2782a9be5c1a/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-13-14_tXxqsq9Dn54.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a4f7120c-1720-44cc-82a8-2782a9be5c1a/left/bottom-side/lf_wheel_raw_2026-02-05_21-13-00_hDkBEIbizA8.jpg
8,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a09d522f-f14f-4aff-8f84-c323e8f5efc2/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-22-30_ktD6wVpE9Hs.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a09d522f-f14f-4aff-8f84-c323e8f5efc2/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-22-59_JRRHHwRuQiw.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/a09d522f-f14f-4aff-8f84-c323e8f5efc2/left/bottom-side/lf_wheel_raw_2026-02-05_21-22-45_gw2cASQdcks.jpg
9,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9a9a21c4-426f-4d5c-8652-de884fcfa99e/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-27-20_ei4Z3HIuENo.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9a9a21c4-426f-4d5c-8652-de884fcfa99e/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-27-47_mVJf-kr7slc.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9a9a21c4-426f-4d5c-8652-de884fcfa99e/left/bottom-side/lf_wheel_raw_2026-02-05_21-27-33_bLvwr4dtYpI.jpg
10,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/cdedc7ec-4610-477b-9cf1-23e44c22ec3d/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-29-38_uwrt0Yojwoc.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/cdedc7ec-4610-477b-9cf1-23e44c22ec3d/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-30-07_ihaGaWiD0LE.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/cdedc7ec-4610-477b-9cf1-23e44c22ec3d/left/bottom-side/lf_wheel_raw_2026-02-05_21-29-53_4L3MmcDPgsE.jpg
11,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9089c7d3-82a2-44cf-9e34-bdd28a1faae0/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-31-59_GouymROd9Tk.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9089c7d3-82a2-44cf-9e34-bdd28a1faae0/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-32-28_ThugcdsQ9ZY.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/9089c7d3-82a2-44cf-9e34-bdd28a1faae0/left/bottom-side/lf_wheel_raw_2026-02-05_21-32-14_Rr-3h9exJhw.jpg
12,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/0ea27bfa-a115-4919-bce0-7a3385796500/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-41-35_AGuug8v_4Kc.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/0ea27bfa-a115-4919-bce0-7a3385796500/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-42-03_7ewWEDFTNtA.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/0ea27bfa-a115-4919-bce0-7a3385796500/left/bottom-side/lf_wheel_raw_2026-02-05_21-41-49_x-84j4Vlp_g.jpg
13,,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/7e764110-b369-4dd2-b823-efe5523b6068/left/bottom-front/lf_wheel_front_raw_2026-02-05_21-43-58_-B_aSafSPGs.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/7e764110-b369-4dd2-b823-efe5523b6068/left/bottom-rear/lf_wheel_rear_raw_2026-02-05_21-44-27_HYPeo_DY6rk.jpg,https://acv-labs-acv-one.latest.acvauctions.com/image_raw/7e764110-b369-4dd2-b823-efe5523b6068/left/bottom-side/lf_wheel_raw_2026-02-05_21-44-13_6r8ZhTdyE6E.jpg
