row_id,raw_id,vin,tire_position,tread_depth,timestamp,front_url,rear_url,parallel_url
f5bb2406-8d36-44e5-9304-1998ef0f891d_rf,f5bb2406-8d36-44e5-9304-1998ef0f891d,WDDGF4HB1CR225396,rf,5.9379658699035645,2026-03-19 19:04:27.604000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-front/rf_wheel_front_raw_2026-03-19_19-03-40_wsVpjzB7Aec.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-rear/rf_wheel_rear_raw_2026-03-19_19-03-40_IFnb7VnEvD8.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-side/rf_wheel_raw_2026-03-19_19-03-40_uBP7lDut8hQ.jpg
f5bb2406-8d36-44e5-9304-1998ef0f891d_rr,f5bb2406-8d36-44e5-9304-1998ef0f891d,WDDGF4HB1CR225396,rr,3.9684481620788574,2026-03-19 19:04:27.604000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-front/rr_wheel_front_raw_2026-03-19_19-03-41_K46cXE57gnY.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-rear/rr_wheel_rear_raw_2026-03-19_19-03-41_gwKeYa1nNgE.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f5bb2406-8d36-44e5-9304-1998ef0f891d/right/bottom-side/rr_wheel_raw_2026-03-19_19-03-41_GPImYO21yyk.jpg
31d0827d-e5c3-4695-8480-568f135d0b1d_lf,31d0827d-e5c3-4695-8480-568f135d0b1d,WAUBEGFF2LA041904,lf,6.779582977294922,2026-03-11 21:35:43.686000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-front/lf_wheel_front_raw_2026-03-11_21-35-12_d_BbPaY8eBA.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-rear/lf_wheel_rear_raw_2026-03-11_21-35-12_hheY-knbNKE.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-side/lf_wheel_raw_2026-03-11_21-35-11_5XiX1TKzucQ.jpg
31d0827d-e5c3-4695-8480-568f135d0b1d_lr,31d0827d-e5c3-4695-8480-568f135d0b1d,WAUBEGFF2LA041904,lr,7.83610200881958,2026-03-11 21:35:43.686000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-front/lr_wheel_front_raw_2026-03-11_21-35-13_AMpl6t-98WM.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-rear/lr_wheel_rear_raw_2026-03-11_21-35-12_VVJ_M51NHDo.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/31d0827d-e5c3-4695-8480-568f135d0b1d/left/bottom-side/lr_wheel_raw_2026-03-11_21-35-12_p-Q3vxwaRss.jpg
7fbbf636-cc21-495d-bdb7-9cbd3068d508_lr,7fbbf636-cc21-495d-bdb7-9cbd3068d508,1GC1KUEG0JF133223,lr,4.821588516235352,2026-03-20 20:42:59.702000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/left/bottom-front/lr_wheel_front_raw_2026-03-20_20-42-44_nAz_TEdcpl4.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/left/bottom-rear/lr_wheel_rear_raw_2026-03-20_20-42-43_tZGrmkvTWs4.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/left/bottom-side/lr_wheel_raw_2026-03-20_20-42-44_rZV67J0hZww.jpg
7fbbf636-cc21-495d-bdb7-9cbd3068d508_rf,7fbbf636-cc21-495d-bdb7-9cbd3068d508,1GC1KUEG0JF133223,rf,5.179684162139893,2026-03-20 20:42:59.702000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/right/bottom-front/rf_wheel_front_raw_2026-03-20_20-42-16_6iJab_LOcfY.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/right/bottom-rear/rf_wheel_rear_raw_2026-03-20_20-42-17_nM1CgK0guhY.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/7fbbf636-cc21-495d-bdb7-9cbd3068d508/right/bottom-side/rf_wheel_raw_2026-03-20_20-42-20_WIaOOu5sBhU.jpg
f2f57c54-b694-453f-9ece-154ea5949635_lf,f2f57c54-b694-453f-9ece-154ea5949635,KM8J33A23HU557482,lf,5.436276435852051,2026-03-24 19:48:53.781000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-front/lf_wheel_front_raw_2026-03-24_19-48-36_XDsdZAtXb08.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-rear/lf_wheel_rear_raw_2026-03-24_19-48-36_VugR-biry4Q.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-side/lf_wheel_raw_2026-03-24_19-48-38_osBcSeI2CH8.jpg
f2f57c54-b694-453f-9ece-154ea5949635_lr,f2f57c54-b694-453f-9ece-154ea5949635,KM8J33A23HU557482,lr,4.612133026123047,2026-03-24 19:48:53.781000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-front/lr_wheel_front_raw_2026-03-24_19-48-37_1h_NguUlIhI.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-rear/lr_wheel_rear_raw_2026-03-24_19-48-37_5e55pATpAdw.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/left/bottom-side/lr_wheel_raw_2026-03-24_19-48-38_A0M6gZS0R_w.jpg
f2f57c54-b694-453f-9ece-154ea5949635_rf,f2f57c54-b694-453f-9ece-154ea5949635,KM8J33A23HU557482,rf,8.03557300567627,2026-03-24 19:48:53.781000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/right/bottom-front/rf_wheel_front_raw_2026-03-24_19-48-19_o8sD_bx8wkk.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/right/bottom-rear/rf_wheel_rear_raw_2026-03-24_19-48-17_ocetmnDBXfM.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/f2f57c54-b694-453f-9ece-154ea5949635/right/bottom-side/rf_wheel_raw_2026-03-24_19-48-14_9BvjtwlN3ZY.jpg
6625b161-bb28-447e-92eb-f640abda325b_lr,6625b161-bb28-447e-92eb-f640abda325b,JA4AT5AA9JZ044649,lr,7.125580787658691,2026-05-14 20:45:14.141000 UTC,https://acv-labs-acv-one.acvauctions.com/image_raw/6625b161-bb28-447e-92eb-f640abda325b/left/bottom-front/lr_wheel_front_raw_2026-05-14_20-44-55_rxsHLs2MuIE.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/6625b161-bb28-447e-92eb-f640abda325b/left/bottom-rear/lr_wheel_rear_raw_2026-05-14_20-44-56_dnR186Ylnjs.jpg,https://acv-labs-acv-one.acvauctions.com/image_raw/6625b161-bb28-447e-92eb-f640abda325b/left/bottom-side/lr_wheel_raw_2026-05-14_20-44-55_aPpNqcsnSDE.jpg
